Ataque,Decision Tree,Random Forest,Adaboost,CNN
DoS,0.753215,0.996882,0.984185,0.883406
Probe,0.978988,0.986508,0.913087,0.541078
R2L,0.955134,0.941125,0.865834,0.681960
U2R,0.607595,0.710526,0.555556,0.281124
