Ataque,Decision Tree,Random Forest,Adaboost,CNN
DoS,0.823132,0.853416,0.920506,0.939957
Probe,0.853940,0.901830,0.924497,0.915513
R2L,0.781915,0.770959,0.784535,0.779136
U2R,0.995296,0.993250,0.993762,0.789933
