Ataque,Decision Tree,Random Forest,Adaboost,CNN
DoS,0.825362,0.997307,0.986242,0.908495
Probe,0.991655,0.994642,0.913087,0.762312
R2L,0.979359,0.973206,0.941352,0.828024
U2R,0.996037,0.997188,0.995909,0.977119
