Ataque,Decision Tree,Random Forest,Adaboost,CNN
DoS,0.612332,0.669303,0.834450,0.874799
Probe,0.830235,0.590252,0.765386,0.710037
R2L,0.047834,0.000000,0.059619,0.058579
U2R,0.343284,0.014925,0.089552,0.085269
