Ataque,Decision Tree,Random Forest,Adaboost,CNN
DoS,0.750513,0.798688,0.901194,0.926791
Probe,0.694061,0.705853,0.801817,0.770334
R2L,0.091300,0.000000,0.112492,0.108333
U2R,0.500000,0.029412,0.164384,0.156788
